name,artist,album,popularity,market,type,owner,tracks,followers
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,90.0,DE,track,,,
Belong Together,Mark Ambor,Belong Together,91.0,DE,track,,,
Espresso,Sabrina Carpenter,Espresso,99.0,DE,track,,,
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),93.0,DE,track,,,
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),86.0,DE,track,,,
Stargazing,Myles Smith,Stargazing,93.0,DE,track,,,
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,99.0,DE,track,,,
Beifahrer,AYLIVA,Beifahrer,74.0,DE,track,,,
Pop Remix,,,,DE,playlist,Spotify,75.0,
Disco Party 🎉 • Club/House/Charts/EDM/Party/Schlager/90s/00s/Remixes/Deep/2024/Mix/Feiern,,,,DE,playlist,its__daniel,975.0,
Pop & Dance Tracks - Latest Hits,,,,DE,playlist,PlayThIsMusic,51.0,
BEST GUITAR SOLOS OF ALL TIME,,,,DE,playlist,t.riccardo,949.0,
TOP EDM 2024,,,,DE,playlist,Romo,73.0,
Miracle Of Sound: Official Playlist ,,,,DE,playlist,Miracle Of Sound,156.0,
EDM | House | Dance Pop | Electro and more,,,,DE,playlist,EDM TOP MUSIC,50.0,
KuschelRock 2,,,,DE,playlist,Ünal Giray,33.0,
Epic Orchestral Remixes 🎻,,,,DE,playlist,Musical Solutions,50.0,
Forza Horizon 4 – Pulse,,,,DE,playlist,jnkchris,32.0,
Taylor Swift,,,100.0,DE,artist,,,115852841.0
Billie Eilish,,,94.0,DE,artist,,,96235242.0
Rihanna,,,90.0,DE,artist,,,61089238.0
Lana Del Rey,,,90.0,DE,artist,,,37110903.0
David Guetta,,,89.0,DE,artist,,,25755926.0
AYLIVA,,,72.0,DE,artist,,,1545806.0
Sido,,,71.0,DE,artist,,,2363529.0
Post Malone,,,90.0,DE,artist,,,44529005.0
Drake,,,94.0,DE,artist,,,89541501.0
The Weeknd,,,93.0,DE,artist,,,86410708.0
Beautiful Things,Benson Boone,Beautiful Things,91.0,FR,track,,,
SPIDER,GIMS,SPIDER,83.0,FR,track,,,
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,90.0,FR,track,,,
Belong Together,Mark Ambor,Belong Together,91.0,FR,track,,,
Boucan (feat. Franglish),KeBlack,Boucan (feat. Franglish),77.0,FR,track,,,
Mélanine,Heuss L'enfoiré,Mélanine,75.0,FR,track,,,
Espresso,Sabrina Carpenter,Espresso,99.0,FR,track,,,
Position,Franglish,Prime,76.0,FR,track,,,
MAMI WATA,Gazo,LA MELO EST GANGX,75.0,FR,track,,,
Aucune attache,KeBlack,Aucune attache,76.0,FR,track,,,
playliste pour tout le monde,,,,FR,playlist,Jules.tiennot,189.0,
Pop Remix,,,,FR,playlist,Spotify,75.0,
BEST GUITAR SOLOS OF ALL TIME,,,,FR,playlist,t.riccardo,949.0,
Best of Bossa Nova,,,,FR,playlist,Putumayo Playlists,25.0,
Miracle Of Sound: Official Playlist ,,,,FR,playlist,Miracle Of Sound,156.0,
Delicieuse Musique l Official Playlist,,,,FR,playlist,Delicieuse Musique,133.0,
Workout Jams,,,,FR,playlist,mandrews33,37.0,
2024 🇨🇩 Congolaise Rumba 🇨🇩,,,,FR,playlist,Pierre Omana,133.0,
Epic Orchestral Remixes 🎻,,,,FR,playlist,Musical Solutions,50.0,
Forza Horizon 4 – Pulse,,,,FR,playlist,jnkchris,32.0,
Taylor Swift,,,100.0,FR,artist,,,115852841.0
Billie Eilish,,,94.0,FR,artist,,,96235242.0
Jul,,,81.0,FR,artist,,,9831040.0
Gazo,,,75.0,FR,artist,,,2846493.0
PLK,,,75.0,FR,artist,,,1945567.0
Tiakola,,,73.0,FR,artist,,,2074783.0
Ninho,,,77.0,FR,artist,,,9862825.0
SCH,,,73.0,FR,artist,,,2217977.0
SDM,,,73.0,FR,artist,,,1057494.0
Werenoi,,,75.0,FR,artist,,,1128202.0
